name,price,href,core_count,core_clock,boost_clock,micro_architecture,tdp,graphics,socket
Intel Core i7-9700K,,https://pcpartpicker.com/product/6DVD4D/intel-core-i7-9700k-36ghz-8-core-oemtray-processor-cm8068403874212,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630,AM4
AMD Ryzen 5 3600X,,https://pcpartpicker.com/product/FCprxr/amd-ryzen-5-3600x-38-thz-6-core-oemtray-processor-100-000000022,6,3.8,4.4,Zen 2,95,,LGA1155
Intel Core i5-2500,,https://pcpartpicker.com/product/ZyPfrH/intel-cpu-bx80623i52500,4,3.3,,Sandy Bridge,95,Intel HD Graphics 2000,LGA1200
Intel Core i5-10600,529.95,https://pcpartpicker.com/product/hftKHx/intel-core-i5-10600-33-ghz-6-core-processor-bx8070110600,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630,LGA1155
Intel Core i3-3220,,https://pcpartpicker.com/product/dZphP6/intel-cpu-bx80637i33220,2,3.3,,Ivy Bridge,55,Intel HD Graphics 2500,LGA2011-3
Intel Xeon E5-2683 V4,1998.95,https://pcpartpicker.com/product/T6rcCJ/intel-cpu-bx80660e52683v4,16,2.1,3,Broadwell,120,,AM5
AMD EPYC 4344P,349.99,https://pcpartpicker.com/product/JZhv6h/amd-epyc-4344p-38-ghz-8-core-processor-100-100001479wof,8,3.8,5.3,Zen 4,65,Radeon,LGA1700
Intel Core i5-13500T,,https://pcpartpicker.com/product/TsbTwP/intel-core-i5-13500t-16-ghz-14-core-oemtray-processor-cm8071505092901,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770,LGA1200
Intel Pentium Gold G6400,72.75,https://pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400,2,4,,Comet Lake,58,Intel UHD Graphics 610,LGA1150
Intel Core i3-4370,41.13,https://pcpartpicker.com/product/tLW9TW/intel-cpu-bx80646i34370,2,3.8,,Haswell Refresh,54,Intel HD Graphics 4600,LGA2011-3
Intel Xeon E5-2667 V3,1498.95,https://pcpartpicker.com/product/3kcMnQ/intel-cpu-cm8064401724301,8,3.2,3.6,Haswell,135,,LGA2011-3
Intel Core i7-6850K,115,https://pcpartpicker.com/product/4RvZxr/intel-cpu-bx80671i76850k,6,3.6,3.8,Broadwell,140,,LGA1151
Intel Core i5-9600K,,https://pcpartpicker.com/product/bLL48d/intel-core-i5-9600k-37ghz-6-core-oemtray-processor-cm8068403874404,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630,LGA1151
Intel Core i7-6700K,,https://pcpartpicker.com/product/Fcqbt6/intel-cpu-cm8066201919901,4,4,4.2,Skylake,91,Intel HD Graphics 530,LGA2066
Intel Core i9-7980XE,972.75,https://pcpartpicker.com/product/8cdFf7/intel-core-i9-7980xe-26ghz-18-core-processor-bx80673i97980x,18,2.6,4.4,Skylake,165,,LGA1155
Intel Core i3-2120,169.99,https://pcpartpicker.com/product/2CXfrH/intel-cpu-bx80623i32120,2,3.3,,Sandy Bridge,65,Intel HD Graphics 2000,LGA1151
Intel Pentium G4560,163.46,https://pcpartpicker.com/product/8gKhP6/intel-pentium-g4560-35ghz-dual-core-processor-bx80677g4560,2,3.5,,Kaby Lake,54,Intel HD Graphics 610,LGA2011
Intel Core i7-4960X Extreme Edition,760,https://pcpartpicker.com/product/HFQypg/intel-cpu-bx80633i74960x,6,3.6,4,Ivy Bridge,130,,AM3
AMD Athlon II X4 640,52.02,https://pcpartpicker.com/product/ThH323/amd-cpu-adx640wfk42gm,4,3,,K10,95,,AM3+
AMD FX-8370,252.02,https://pcpartpicker.com/product/2WGj4D/amd-cpu-fd8370frhkbox,8,4,4.3,Piledriver,125,,LGA1151
Intel Core i7-9700F,389.95,https://pcpartpicker.com/product/cTwkcf/intel-core-i7-9700f-3-ghz-8-core-oemtray-processor-cm8068403874523,8,3,4.7,Coffee Lake Refresh,65,,LGA2011-3
Intel Core i7-5930K,,https://pcpartpicker.com/product/zTvRsY/intel-cpu-bx80648i75930k,6,3.5,3.7,Haswell,140,,AM4
AMD Ryzen 5 2600X,,https://pcpartpicker.com/product/KTtKHx/amd-ryzen-5-2600x-36-ghz-6-core-oemtray-processor-yd260xbcm6iaf,6,3.6,4.2,Zen+,95,,sTR4
AMD Threadripper 1900X,,https://pcpartpicker.com/product/BvgPxr/amd-threadripper-1900x-38ghz-8-core-processor-yd190xa8aewof,8,3.8,4,Zen,180,,LGA1700
Intel Core i7-13700T,,https://pcpartpicker.com/product/ZsbTwP/intel-core-i7-13700t-14-ghz-16-core-oemtray-processor-cm8071504820903,16,1.4,4.9,Raptor Lake,35,,AM3+
AMD FX-6100,68,https://pcpartpicker.com/product/PkMFf7/amd-cpu-fd6100wmgusbx,6,3.3,,Bulldozer,95,,LGA1150
Intel Core i5-4670,119.88,https://pcpartpicker.com/product/CVjG3C/intel-cpu-bx80646i54670,4,3.4,,Haswell,84,Intel HD Graphics 4600,LGA1151
Intel Core i7-6700,389.95,https://pcpartpicker.com/product/9gJkcf/intel-cpu-cm8066201920103,4,3.4,4,Skylake,65,Intel HD Graphics 530,LGA1155
Intel Core i5-3470S,44.94,https://pcpartpicker.com/product/yXDwrH/intel-cpu-bx80637i53470s,4,2.9,,Ivy Bridge,65,Intel HD Graphics 2500,LGA2011
Intel Xeon E5-4620,56,https://pcpartpicker.com/product/xdZQzy/intel-cpu-bx80621e54620,8,2.2,2.6,Sandy Bridge,95,,LGA2011-3
Intel Xeon E5-2690 V4,,https://pcpartpicker.com/product/fNcMnQ/intel-cpu-bx80660e52690v4,14,2.6,3.5,Broadwell,135,,LGA2011-3
Intel Core i7-5960X,,https://pcpartpicker.com/product/TcQypg/intel-cpu-bx80648i75960x,8,3,3.5,Haswell,140,,LGA2066
Intel Core i9-10940X,720,https://pcpartpicker.com/product/fYWBD3/intel-core-i9-10940x-33-ghz-14-core-processor-bx8069510940x,14,3.3,4.8,Cascade Lake,165,,LGA2066
Intel Core i9-9980XE,1799.99,https://pcpartpicker.com/product/Kpw7YJ/intel-core-i9-9980xe-3-thz-18-core-processor-bx80673i99980x,18,3,4.4,Skylake,165,,AM4
AMD Ryzen 5 3400G,,https://pcpartpicker.com/product/vnQfrH/amd-ryzen-5-3400g-37-ghz-quad-core-oemtray-processor-yd3400c5m4mfh,4,3.7,4.2,Zen+,65,Radeon Vega 11,LGA1151
Intel Pentium Gold G5400,72.95,https://pcpartpicker.com/product/6Tzkcf/intel-pentium-gold-g5400-37ghz-dual-core-oemtray-processor-cm8068403360112,2,3.7,,Coffee Lake,58,Intel UHD Graphics 610,LGA775
Intel Pentium E2220,19.98,https://pcpartpicker.com/product/fWsKHx/intel-cpu-bx80557e2220,2,2.4,,Core,65,,AM4
AMD Ryzen 9 3900,,https://pcpartpicker.com/product/KnbCmG/amd-ryzen-9-3900-31-ghz-12-core-oemtray-processor-100-000000070,12,3.1,,Zen 2,65,,LGA1155
Intel Core i5-3330,,https://pcpartpicker.com/product/Jcw323/intel-cpu-bx80637i53330,4,3,,Ivy Bridge,77,Intel HD Graphics 2500,LGA775
Intel Celeron E3500,14.99,https://pcpartpicker.com/product/2VK7YJ/intel-cpu-bx80571e3500,2,2.7,,Wolfdale,65,,LGA2066
Intel Core i9-10920X,899,https://pcpartpicker.com/product/2vZzK8/intel-core-i9-10920x-35-ghz-12-core-processor-bx8069510920x,12,3.5,4.8,Cascade Lake,165,,AM3+
AMD FX-4300,,https://pcpartpicker.com/product/Jbbp99/amd-cpu-fd4300wmhkbox,4,3.8,,Piledriver,95,,LGA1200
Intel Pentium Gold G6500,62.95,https://pcpartpicker.com/product/Qkyqqs/intel-pentium-gold-g6500-41-ghz-dual-core-processor-bx80701g6500,2,4.1,,Comet Lake,58,Intel UHD Graphics 630,LGA775
Intel Core 2 Quad Q9550,48.02,https://pcpartpicker.com/product/hhXfrH/intel-cpu-eu80569pj073n,4,2.83,,Yorkfield,95,,LGA1151
Intel Core i5-9600,160,https://pcpartpicker.com/product/bKH8TW/intel-core-i5-9600-31-ghz-6-core-processor-bx80684i59600,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630,LGA2011-3
Intel Core i7-6950X,,https://pcpartpicker.com/product/MJM323/intel-cpu-bx80671i76950x,10,3,3.5,Broadwell,140,,LGA1151
Intel Core i7-9700,274.02,https://pcpartpicker.com/product/sXsnTW/intel-core-i7-9700-3-ghz-8-core-oemtray-processor-cm8068403874521,8,3,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630,LGA2011-3
Intel Xeon E5-1630 V4,229.95,https://pcpartpicker.com/product/cxVD4D/intel-xeon-e5-1630-v4-37ghz-quad-core-oemtray-processor-cm8066002395300,4,3.7,4,Broadwell,140,,AM4
AMD Ryzen 5 2400G,,https://pcpartpicker.com/product/3t7v6h/amd-ryzen-5-2400g-36ghz-quad-core-oemtray-processor-yd2400c5m4mfb,4,3.6,3.9,Zen,65,Radeon Vega 11,LGA2011
Intel Core i7-3820,,https://pcpartpicker.com/product/6xzv6h/intel-cpu-bx80619i73820,4,3.6,,Sandy Bridge,130,,LGA2011
Intel Xeon E5-2695 V2,189,https://pcpartpicker.com/product/tQtCmG/intel-cpu-bx80635e52695v2,12,2.4,3.2,Ivy Bridge,115,,LGA1366
Intel Core i7-920,90,https://pcpartpicker.com/product/tzrG3C/intel-cpu-bx80601920,4,2.66,,Nehalem,130,,LGA1150
Intel Pentium G3258,51.36,https://pcpartpicker.com/product/fKCwrH/intel-cpu-bx80646g3258,2,3.2,,Haswell Refresh,53,Intel HD Graphics,AM5
AMD Ryzen 5 PRO 7645,,https://pcpartpicker.com/product/WkwmP6/amd-ryzen-5-pro-7645-38-ghz-6-core-oemtray-processor-100-000000600,6,3.8,5.1,Zen 4,65,Radeon,FM2
AMD A8-6600K,88.02,https://pcpartpicker.com/product/fb7wrH/amd-cpu-ad660kwohlbox,4,3.9,,Piledriver,100,Radeon HD 8570D,AM3+
AMD FX-6120,54.04,https://pcpartpicker.com/product/L72kcf/amd-cpu-fd6120wmw6kgu,6,3.5,4.1,Bulldozer,95,,FM2+
AMD A8-7600,,https://pcpartpicker.com/product/nqYXsY/amd-cpu-ad7600ybjabox,4,3.1,3.8,Steamroller,65,Radeon R7 (on-die),LGA2011-3
Intel Xeon E5-2670 V3,,https://pcpartpicker.com/product/jnTrxr/intel-cpu-bx80644e52670v3,12,2.3,3.1,Haswell,120,,AM3+
AMD FX-8350,188.02,https://pcpartpicker.com/product/yxh9TW/amd-cpu-fd8350frw8khk,8,4,,Piledriver,125,,LGA1200
Intel Core i3-10300,99,https://pcpartpicker.com/product/g9PgXL/intel-core-i3-10300-37-ghz-quad-core-processor-bx8070110300,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,LGA1155
Intel Pentium G2020,34.99,https://pcpartpicker.com/product/RBXfrH/intel-cpu-bx80637g2020,2,2.9,,Ivy Bridge,55,Intel HD Graphics,AM3+
AMD FX-6350,,https://pcpartpicker.com/product/HqGkcf/amd-cpu-fd6350frhkbox,6,3.9,,Piledriver,125,,LGA2011-3
Intel Xeon E5-2699 V3,,https://pcpartpicker.com/product/cPx9TW/intel-cpu-cm8064401739300,18,2.3,3.6,Haswell,145,,LGA2011-3
Intel Xeon E5-2697 V4,,https://pcpartpicker.com/product/NKp323/intel-cpu-bx80660e52697v4,18,2.3,3.6,Broadwell,145,,LGA1150
Intel Core i7-4770K,300,https://pcpartpicker.com/product/7p98TW/intel-cpu-bxf80646i74770k,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600,AM5
AMD EPYC 4364P,417.99,https://pcpartpicker.com/product/vchv6h/amd-epyc-4364p-45-ghz-8-core-processor-100-100001477wof,8,4.5,5.4,Zen 4,105,Radeon,AM3
AMD Phenom II X6 1090T Black,,https://pcpartpicker.com/product/MkZQzy/amd-cpu-hdt90zfbgrbox,6,3.2,,K10,125,,LGA1156
Intel Core i3-530,42.5,https://pcpartpicker.com/product/2Jdqqs/intel-cpu-bx80616i3530,2,2.93,,Westmere,73,Intel HD Graphics,LGA1151
Intel Core i5-8600K,,https://pcpartpicker.com/product/GNX2FT/intel-core-i5-8600k-36ghz-6-core-oemtray-processor-cm8068403358508,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630,LGA1151
Intel Core i3-9350KF,148.94,https://pcpartpicker.com/product/DDtQzy/intel-core-i3-9350kf-4-ghz-quad-core-processor-bx80684i39350kf,4,4,4.6,Coffee Lake Refresh,91,,LGA1366
Intel Core i7-980X Extreme Edition,148.02,https://pcpartpicker.com/product/k2DwrH/intel-cpu-bx80613i7980x,6,3.33,,Westmere,130,,LGA1151
Intel Core i7-8700T,199,https://pcpartpicker.com/product/bFKcCJ/intel-core-i7-8700t-24ghz-6-core-oemtray-processor-cm8068403358413,6,2.4,4,Coffee Lake,35,Intel UHD Graphics 630,AM5
AMD Ryzen 7 PRO 7745,,https://pcpartpicker.com/product/TvDQzy/amd-ryzen-7-pro-7745-38-ghz-8-core-processor-100-100000599mpk,8,3.8,5.3,Zen 4,65,Radeon,AM1
AMD 5350,,https://pcpartpicker.com/product/VGsKHx/amd-cpu-ad5350jahmbox,4,2.05,,Jaguar,25,Radeon HD 8400,LGA1150
Intel Core i7-4770S,119,https://pcpartpicker.com/product/cvPfrH/intel-cpu-bx80646i74770s,4,3.1,,Haswell,65,Intel HD Graphics 4600,AM3+
AMD FX-6300,58.02,https://pcpartpicker.com/product/wqYXsY/amd-cpu-fd6300wmw6khk,6,3.5,,Piledriver,95,,AM4
AMD Ryzen 7 1700X,,https://pcpartpicker.com/product/6Y38TW/amd-ryzen-7-1700x-34ghz-8-core-processor-yd170xbcaempk,8,3.4,3.8,Zen,95,,LGA1151
Intel Core i3-8350K,,https://pcpartpicker.com/product/fCs8TW/intel-core-i3-8350k-40ghz-quad-core-processor-bx80684i38350k,4,4,,Coffee Lake,91,Intel UHD Graphics 630,LGA2011
Intel Xeon E5-2697 V2,,https://pcpartpicker.com/product/prTmP6/intel-cpu-bx80635e52697v2,12,2.7,3.5,Ivy Bridge,130,,LGA2011
Intel Xeon E5-2640,41.45,https://pcpartpicker.com/product/xKvRsY/intel-cpu-bx80621e52640,6,2.5,3,Sandy Bridge,95,,LGA2066
Intel Core i9-7960X,,https://pcpartpicker.com/product/r87CmG/intel-core-i9-7960x-28ghz-16-core-processor-bx80673i97960x,16,2.8,4.4,Skylake,165,,LGA2011
Intel Xeon E5-2650,70,https://pcpartpicker.com/product/837wrH/intel-cpu-bx80621e52650,8,2,2.8,Sandy Bridge,95,,LGA1150
Intel Core i3-4160,,https://pcpartpicker.com/product/XVtCmG/intel-cpu-bx80646i34160,2,3.6,,Haswell Refresh,54,Intel HD Graphics 4400,AM3+
AMD FX-4350,118.02,https://pcpartpicker.com/product/pQphP6/amd-cpu-fd4350frhkbox,4,4.2,,Piledriver,125,,FM2
AMD A10-6700,78.02,https://pcpartpicker.com/product/h9xfrH/amd-cpu-ad6700oka44hl,4,3.7,,Piledriver,65,Radeon HD 8670D,LGA2011-3
Intel Xeon E5-2630 V4,295,https://pcpartpicker.com/product/dKp323/intel-cpu-bx80660e52630v4,10,2.2,3.1,Broadwell,85,,LGA775
Intel Celeron E3400,18.98,https://pcpartpicker.com/product/CxvRsY/intel-cpu-bx80571e3400,2,2.6,,Wolfdale,65,,LGA1700
Intel Core i3-13100T,,https://pcpartpicker.com/product/B8RYcf/intel-core-i3-13100t-25-ghz-quad-core-oemtray-processor-cm8071505092101,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,LGA1151
Intel Pentium G4400,129.22,https://pcpartpicker.com/product/YV7CmG/intel-cpu-bx80662g4400,2,3.3,,Skylake,54,Intel HD Graphics 510,LGA1700
Intel Core i5-13600,,https://pcpartpicker.com/product/38Fbt6/intel-core-i5-13600-27-ghz-14-core-processor-bx8071513600,14,2.7,5,Raptor Lake,65,Intel UHD Graphics 770,LGA1151
Intel Xeon E-2236,419.02,https://pcpartpicker.com/product/YTYQzy/intel-xeon-e-2236-34-thz-6-core-oemtray-processor-cm8068404174603,6,3.4,4.8,Coffee Lake Refresh,80,,LGA2066
Intel Core i7-9800X,,https://pcpartpicker.com/product/T4VD4D/intel-core-i7-9800x-38-ghz-8-core-processor-bx80673i79800x,8,3.8,4.5,Skylake,165,,LGA1156
Intel Core i7-870,100,https://pcpartpicker.com/product/XDvRsY/intel-cpu-bx80605i7870,4,2.93,,Nehalem,95,,LGA1155
Intel Core i5-3350P,,https://pcpartpicker.com/product/vX8Zxr/intel-cpu-bx80637i53350p,4,3.1,,Ivy Bridge,69,,LGA2011-3
Intel Xeon E5-2683 V4,489.95,https://pcpartpicker.com/product/B2mxFT/intel-cpu-cm8066002023604,16,2.1,3,Broadwell,120,,LGA1151
Intel Core i5-6500T,229.95,https://pcpartpicker.com/product/xn7CmG/intel-cpu-cm8066201920600,4,2.5,3.1,Skylake,35,Intel HD Graphics 530,LGA1151
Intel Core i5-9600KF,339.95,https://pcpartpicker.com/product/TJwkcf/intel-core-i5-9600kf-37-ghz-6-core-oemtray-processor-cm8068403874410,6,3.7,4.6,Coffee Lake Refresh,95,,LGA1155
Intel Core i5-3450,95,https://pcpartpicker.com/product/kxzv6h/intel-cpu-bx80637i53450,4,3.1,,Ivy Bridge,77,Intel HD Graphics 2500,LGA1151
Intel Core i5-6402P,74.02,https://pcpartpicker.com/product/JC648d/intel-core-i5-6402p-28ghz-quad-core-processor-bx80662i56402p,4,2.8,3.4,Skylake,65,Intel HD Graphics 510,LGA1156
Intel Core i5-750,60,https://pcpartpicker.com/product/CHFPxr/intel-cpu-bx80605i5750,4,2.66,,Nehalem,95,,LGA2011-3
Intel Core i7-5820K,429.95,https://pcpartpicker.com/product/WqYXsY/intel-cpu-cm8064801548435,6,3.3,3.6,Haswell,140,,LGA1151
Intel Celeron G4920,50.77,https://pcpartpicker.com/product/dMTPxr/intel-celeron-g4920-32ghz-dual-core-processor-bx80684g4920,2,3.2,,Coffee Lake,65,Intel UHD Graphics 610,LGA1151
Intel Core i7-6700T,,https://pcpartpicker.com/product/WV7CmG/intel-cpu-cm8066201920202,4,2.8,3.6,Skylake,35,Intel HD Graphics 530,LGA1155
Intel Core i7-3770S,95,https://pcpartpicker.com/product/mbJwrH/intel-cpu-bx80637i73770s,4,3.1,,Ivy Bridge,65,Intel HD Graphics 4000,LGA1150
Intel Xeon E3-1231 V3,,https://pcpartpicker.com/product/psR48d/intel-cpu-bx80646e31231v3,4,3.4,3.8,Haswell Refresh,80,,LGA1151
Intel Core i3-8100T,100,https://pcpartpicker.com/product/ftKcCJ/intel-core-i3-8100t-31ghz-quad-core-oemtray-processor-cm8068403377415,4,3.1,,Coffee Lake,35,Intel UHD Graphics 630,LGA1151
Intel Core i7-7700T,498.95,https://pcpartpicker.com/product/wZPzK8/intel-core-i7-7700t-29ghz-quad-core-oemtray-processor-cm8067702868416,4,2.9,3.8,Kaby Lake,35,Intel HD Graphics 630,FM2
AMD Athlon X2 340,,https://pcpartpicker.com/product/VXK7YJ/amd-cpu-ad340xokhjbox,2,3.2,,Piledriver,65,,AM3
AMD Athlon II 160u,,https://pcpartpicker.com/product/T32rxr/amd-cpu-ad160ueak13gq,1,1.8,,K10,20,,LGA1151
Intel Xeon E-2176G,1005,https://pcpartpicker.com/product/DYF48d/intel-xeon-e-2176g-37-thz-6-core-oemtray-processor-cm8068403380018,6,3.7,4.7,Coffee Lake,80,Intel HD Graphics P630,AM3+
AMD FX-6350,,https://pcpartpicker.com/product/ZFs8TW/amd-fx-6350-39ghz-6-core-processor-fd6350frhkhbx,6,3.9,,Piledriver,125,,FM2+
AMD A10-7850K,134.99,https://pcpartpicker.com/product/TqxfrH/amd-cpu-ad785kxbjabox,4,3.7,4,Steamroller,95,Radeon R7 (on-die),LGA775
Intel Celeron 440,29.87,https://pcpartpicker.com/product/RWsKHx/intel-cpu-hh80557rg041512,1,2,,Core,35,,AM4
AMD Athlon 3000G (14nm),,https://pcpartpicker.com/product/GdFKHx/amd-athlon-3000g-35-ghz-dual-core-oemtray-processor-yd3000c6m2ofh,2,3.5,,Zen,35,Radeon Vega 3,LGA775
Intel Core 2 Duo E7300,28.2,https://pcpartpicker.com/product/Ms7wrH/intel-cpu-bx80571e7300,2,2.66,,Wolfdale,65,,AM4
AMD A8-9600,,https://pcpartpicker.com/product/4ZkwrH/amd-a8-9600-31ghz-quad-core-processor-ad9600agabbox,4,3.1,3.4,Excavator,65,Radeon R7 (on-die),FM2
AMD Athlon X2 370K,,https://pcpartpicker.com/product/kx7wrH/amd-cpu-ad370kokhlbox,2,4.2,,Piledriver,65,,LGA1150
Intel Core i7-4790S,,https://pcpartpicker.com/product/YZg323/intel-cpu-bx80646i74790s,4,3.2,4,Haswell Refresh,65,Intel HD Graphics 4000,LGA2011-3
Intel Xeon E5-2640 V3,,https://pcpartpicker.com/product/b2FXsY/intel-cpu-bx80644e52640v3,8,2.6,3.4,Haswell,90,,LGA1150
Intel Core i5-4570T,79,https://pcpartpicker.com/product/PhM323/intel-cpu-bx80646i54570t,2,2.9,,Haswell,35,Intel HD Graphics 4600,LGA2011-3
Intel Xeon E5-2698 V4,,https://pcpartpicker.com/product/GrDzK8/intel-xeon-e5-2698-v4-22ghz-20-core-oemtray-processor-cm8066002024000,20,2.2,3.6,Broadwell,135,,LGA1151
Intel Celeron G4930,49.99,https://pcpartpicker.com/product/KvjNnQ/intel-celeron-g4930-32-ghz-dual-core-processor-bx80684g4930,2,3.2,,Coffee Lake,54,Intel UHD Graphics 610,LGA1156
Intel Core i5-650,70,https://pcpartpicker.com/product/BkZQzy/intel-cpu-bx80616i5650,2,3.2,,Westmere,73,Intel HD Graphics,sTR4
AMD Threadripper 2970WX,,https://pcpartpicker.com/product/LRXnTW/amd-threadripper-2970wx-3-ghz-24-core-processor-yd297xazafwof,24,3,4.2,Zen+,250,,AM5
AMD Ryzen 7 PRO 7745,,https://pcpartpicker.com/product/6988TW/amd-ryzen-7-pro-7745-38-ghz-8-core-oemtray-processor-100-000000599,8,3.8,5.3,Zen 4,65,Radeon,AM3+
AMD FX-9370,193.93,https://pcpartpicker.com/product/tgkD4D/amd-cpu-fd9370fhhkwof,8,4.4,4.7,Piledriver,220,,LGA2011-3
Intel Xeon E5-2680 V3,,https://pcpartpicker.com/product/QYcMnQ/intel-cpu-cm8064401439612,12,2.5,3.3,Haswell,120,,LGA775
Intel Core 2 Quad Q9300,38.04,https://pcpartpicker.com/product/MzrG3C/intel-cpu-eu80580pj0606m,4,2.5,,Yorkfield,95,,LGA1155
Intel Core i5-2320,,https://pcpartpicker.com/product/XtGkcf/intel-cpu-bx80623i52320,4,3,,Sandy Bridge,95,Intel HD Graphics 2000,LGA1151
Intel Core i5-6400,,https://pcpartpicker.com/product/kYH48d/intel-cpu-cm8066201920506,4,2.7,3.3,Skylake,65,Intel HD Graphics 530,LGA775
Intel Core 2 Quad Q9650,,https://pcpartpicker.com/product/gvGkcf/intel-cpu-bx80569q9650,4,3,,Yorkfield,95,,AM5
AMD EPYC 4584PX,,https://pcpartpicker.com/product/gHXV3C/amd-epyc-4584px-42-ghz-16-core-processor-100-100001481wof,16,4.2,5.7,Zen 4,120,Radeon,AM3+
AMD FX-8320,102.02,https://pcpartpicker.com/product/s8h9TW/amd-cpu-fd8320frw8khk,8,3.5,,Piledriver,125,,LGA1200
Intel Celeron G5905,,https://pcpartpicker.com/product/NyNgXL/intel-celeron-g5905-56-ghz-dual-core-oemtray-processor-cm8070104292115,2,3.5,,Comet Lake,58,Intel UHD Graphics 610,LGA1155
Intel Celeron G530,35.88,https://pcpartpicker.com/product/DdR48d/intel-cpu-bx80623g530,2,2.4,,Sandy Bridge,65,Intel HD Graphics,Comet Lake
Intel Core i7-10700K Avengers Collector's Edition,260.02,https://pcpartpicker.com/product/j6Tp99/intel-core-i7-10700k-avengers-collectors-edition-38-ghz-8-core-processor-bx8070110700ka,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,LGA1151
Intel Core i5-8400T,139,https://pcpartpicker.com/product/4mF48d/intel-core-i5-8400t-17ghz-6-core-oemtray-processor-cm8068403358913,6,1.7,3.3,Coffee Lake,35,Intel UHD Graphics 630,LGA1151
Intel Core i3-8100,113,https://pcpartpicker.com/product/ZvzZxr/intel-core-i3-8100-36ghz-6-core-oemtray-processor-cm8068403377308,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630,LGA1155
Intel Core i3-3240,111.01,https://pcpartpicker.com/product/FRckcf/intel-cpu-bx80637i33240,2,3.4,,Ivy Bridge,55,Intel HD Graphics 2500,LGA775
Intel Pentium E6600,50,https://pcpartpicker.com/product/z4TmP6/intel-cpu-bx80571e6600,2,3.06,,Wolfdale,65,,LGA775
Intel Core 2 Quad Q6600,,https://pcpartpicker.com/product/r4TmP6/intel-cpu-bx80562q6600,4,2.4,,Core,100,,LGA1151
Intel Core i5-7600K,,https://pcpartpicker.com/product/yzGj4D/intel-core-i5-7600k-38ghz-quad-core-oemtray-processor-cm8067702868219,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630,LGA1151
Intel Core i3-7320,59,https://pcpartpicker.com/product/HgKhP6/intel-core-i3-7320-41ghz-dual-core-processor-bx80677i37320,2,4.1,,Kaby Lake,51,Intel HD Graphics 630,LGA2011-3
Intel Xeon E5-2660 V4,399,https://pcpartpicker.com/product/6k98TW/intel-cpu-bx80660e52660v4,14,2,3.2,Broadwell,105,,LGA1151
Intel Core i5-7400,119,https://pcpartpicker.com/product/gWjWGX/intel-core-i5-7400-30ghz-quad-core-oemtray-processor-cm8067702867050,4,3,3.5,Kaby Lake,65,Intel HD Graphics 630,LGA1151
Intel Pentium Gold G5420,207.29,https://pcpartpicker.com/product/v2xbt6/intel-pentium-gold-g5420-38-ghz-dual-core-processor-bx80684g5420,2,3.8,,Coffee Lake,54,Intel UHD Graphics 610,LGA2011
Intel Xeon E5-2650 V2,185,https://pcpartpicker.com/product/BwR48d/intel-cpu-bx80635e52650v2,8,2.6,3.4,Ivy Bridge,95,,LGA1155
Intel Core i3-3250,48,https://pcpartpicker.com/product/TB2kcf/intel-cpu-bx80637i33250,2,3.5,,Ivy Bridge,55,Intel HD Graphics 2500,AM3
AMD Phenom II X4 965 Black,,https://pcpartpicker.com/product/Rd7wrH/amd-cpu-hdz965fbgmbox,4,3.4,,K10,125,,LGA1156
Intel Core i7-860,289.97,https://pcpartpicker.com/product/dZmLrH/intel-cpu-bx80605i7860,4,2.8,,Nehalem,95,,LGA2066
Intel Core i7-7800X,329.95,https://pcpartpicker.com/product/sbJkcf/intel-core-i7-7800x-35ghz-6-core-oemtray-processor-cd8067303287002,6,3.5,4,Skylake,140,,LGA1150
Intel Core i5-4590S,,https://pcpartpicker.com/product/xvzv6h/intel-cpu-bx80646i54590s,4,3,3.7,Haswell Refresh,65,Intel HD Graphics 4000,LGA1151
Intel Core i3-6300,92.61,https://pcpartpicker.com/product/gk648d/intel-cpu-bx80662i36300,2,3.8,,Skylake,51,Intel HD Graphics 530,LGA2011-3
Intel Xeon E5-2620 V4,967,https://pcpartpicker.com/product/XjZ2FT/intel-cpu-bx80660e52620v4,8,2.1,3,Broadwell,85,,LGA1200
Intel Core i9-10850K,,https://pcpartpicker.com/product/fmzFf7/intel-core-i9-10850k-36-ghz-10-core-oemtray-processor-cm8070104608302,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,LGA1200
Intel Pentium Gold G6405,71.72,https://pcpartpicker.com/product/gCzhP6/intel-pentium-gold-g6405-41-ghz-dual-core-processor-bx80701g6405,2,4.1,,Comet Lake,58,Intel UHD Graphics 610,LGA2066
